origin;destination;year;month;avg_time_difference;count;;;;;;
EHEH;EPWA;2022;3;5508.0;14;;;;;;
EHLE;EHBK;2022;3;5806.0;2;;;;;;
EHAM;LIPM;2022;3;4838.5;2;;;;;;
EHEH;EKRK;2022;3;3950.0;2;;;;;;
EHGG;LSZR;2022;3;3761.0;3;;;;;;
EHOW;EHHO;2022;3;1115.0;1;;;;;;
EHAM;EHVK;2022;3;1680.0;1;;;;;;
EHAM;LFHC;2022;3;4.140.666.666.666.660;9;;;;;;
EHLE;EDLW;2022;3;3363.0;1;;;;;;
EHRD;LFGA;2022;3;4797.0;1;;;;;;
EHHO;EHDR;2022;3;997.0;1;;;;;;
EHAM;EGNT;2022;4;33.443.960.396.039.600;101;;;;;;
EHAM;EDTM;2022;3;3322.0;1;;;;;;
EHBK;LIRZ;2022;3;8360.0;1;;;;;;
EHRD;LKDK;2022;3;4734.0;1;;;;;;
EHDP;EHDP;2022;3;1947.6;35;;;;;;
EHMZ;EBOS;2022;3;1614.6;5;;;;;;
EHAM;LEMD;2022;3;7.568.067.669.172.930;266;;;;;;
EHAM;EIDW;2022;3;4.249.330.601.092.890;366;;;;;;
EHGG;EBFS;2022;3;9465.0;1;;;;;;
EHAM;EGFF;2022;3;35.411.739.130.434.700;23;;;;;;
EHBK;EDLO;2022;3;3219.0;1;;;;;;
EHTL;EHTL;2022;3;4078.3;20;;;;;;
EHAM;EHDS;2022;3;14.976.666.666.666.600;3;;;;;;
EHRD;EGNT;2022;3;5143.0;2;;;;;;
EHEH;EPRZ;2022;3;6.178.666.666.666.660;3;;;;;;
EHRD;LHBP;2022;3;6659.0;1;;;;;;
EHLE;EHAM;2022;3;8.507.142.857.142.850;7;;;;;;
EHTW;LSZA;2022;3;4995.0;1;;;;;;
EHAM;LETO;2022;3;7865.0;1;;;;;;
EHAM;LBSF;2022;3;8546.5;14;;;;;;
EHGG;EDWF;2022;3;1195.4;5;;;;;;
EHAM;ETND;2022;3;7636.0;1;;;;;;
EHTW;EHVK;2022;3;1516.0;1;;;;;;
EHRD;EGSC;2022;3;3205.5;2;;;;;;
EHBK;EDDM;2022;3;3220.5;2;;;;;;
EHTW;LFHN;2022;3;4250.0;1;;;;;;
EHRD;EIDW;2022;3;4398.0;1;;;;;;
EHGG;LFPB;2022;3;3758.0;3;;;;;;
EHTE;EHSE;2022;3;2398.0;4;;;;;;
EHHO;EHTW;2022;3;1510.0;1;;;;;;
EHHO;EHST;2022;3;1022.8;5;;;;;;
EHKD;EDXN;2022;3;6846.0;1;;;;;;
EHBK;EHTE;2022;3;2665.0;1;;;;;;
EHBK;LEMD;2022;3;8011.0;1;;;;;;
EHBK;ENGM;2022;3;5593.0;4;;;;;;
EHGG;EKSB;2022;3;4370.0;1;;;;;;
EHST;EDLS;2022;3;1968.0;2;;;;;;
EHAM;EGGP;2022;3;36.341.176.470.588.200;34;;;;;;
EHTE;EDCM;2022;3;8830.0;1;;;;;;
EHGG;EGMC;2022;3;6037.0;2;;;;;;
EHTE;EDLW;2022;3;2598.0;1;;;;;;
EHAM;EDLW;2022;3;1796.0;1;;;;;;
EHAM;LEAX;2022;3;9401.0;2;;;;;;
EHAM;EPLE;2022;3;3995.0;3;;;;;;
EHSE;LOWI;2022;3;6783.5;2;;;;;;
EHLE;EHTL;2022;3;3319.0;1;;;;;;
EHGG;EBOS;2022;3;6886.0;2;;;;;;
EHRD;ESSB;2022;3;6014.8;5;;;;;;
EHRD;EGJJ;2022;3;4246.0;1;;;;;;
EHAM;LDVA;2022;3;5.224.333.333.333.330;3;;;;;;
EHAM;EGLF;2022;3;31.535.238.095.238.000;21;;;;;;
EHEH;LIML;2022;3;3945.0;1;;;;;;
EHTW;EHAM;2022;3;1397.0;1;;;;;;
EHAM;LSZB;2022;3;4188.0;4;;;;;;
EHAM;LHBP;2022;3;5.930.980.952.380.950;105;;;;;;
EHBK;EGWU;2022;3;3671.0;1;;;;;;
EHGG;LFJT;2022;3;5279.0;1;;;;;;
EHEH;EPLU;2022;3;4045.0;1;;;;;;
EHBD;EHAM;2022;3;1403.0;2;;;;;;
EHAM;LIMJ;2022;3;5137.05;20;;;;;;
EHRD;EGBP;2022;3;2903.0;1;;;;;;
EHBK;EBZW;2022;3;14.346.666.666.666.600;3;;;;;;
EHSE;LEPP;2022;3;9005.0;1;;;;;;
EHEH;ESSA;2022;3;6804.0;1;;;;;;
EHAM;LIRZ;2022;3;6037.0;1;;;;;;
EHAM;LFOS;2022;3;3389.0;1;;;;;;
EHEH;LE84;2022;3;8789.2;5;;;;;;
EHKD;EHTE;2022;3;9478.0;1;;;;;;
EHBD;EBST;2022;3;1867.0;1;;;;;;
EHAL;EDWN;2022;3;3140.0;2;;;;;;
EHLE;EDMT;2022;3;7530.0;1;;;;;;
EHRD;EHWO;2022;3;998.0;10;;;;;;
EHGG;EDEG;2022;3;2577.0;1;;;;;;
EHEH;LIDU;2022;3;4541.25;4;;;;;;
EHEH;LSZS;2022;3;3288.0;1;;;;;;
EHAM;EKAH;2022;3;3429.0;1;;;;;;
EHMZ;EDLV;2022;3;2934.0;1;;;;;;
EHTX;EHHV;2022;3;2815.0;1;;;;;;
EHLW;EDRX;2022;3;4045.0;1;;;;;;
EHRD;LFQQ;2022;3;2657.0;1;;;;;;
EHAM;LEIB;2022;3;7.917.233.333.333.330;30;;;;;;
EHRD;EBLG;2022;3;16.976.666.666.666.600;3;;;;;;
EHAM;LICZ;2022;3;8735.8;5;;;;;;
EHDB;EHAM;2022;3;2104.5;10;;;;;;
EHTE;EKTD;2022;3;5798.0;1;;;;;;
EHHV;EHAM;2022;3;9.423.076.923.076.920;13;;;;;;
EHRD;LFNR;2022;3;5651.0;1;;;;;;
EHAM;EDDV;2022;3;22.863.714.285.714.200;70;;;;;;
EHEH;EPWR;2022;3;4274.4;5;;;;;;
EHKD;EHMZ;2022;3;5148.0;1;;;;;;
EHEH;EDDH;2022;3;2623.0;2;;;;;;
EHAM;LEZG;2022;3;6.670.333.333.333.330;15;;;;;;
EHRD;EGSS;2022;3;2195.0;4;;;;;;
EHAM;EHHV;2022;3;8.196.153.846.153.840;13;;;;;;
EHAM;LFMY;2022;3;5368.0;36;;;;;;
EHEH;LROP;2022;3;8.563.764.705.882.350;17;;;;;;
EHBK;EHBK;2022;3;3.970.125;16;;;;;;
EHBD;LFMN;2022;3;6378.0;2;;;;;;
EHGG;EHLE;2022;3;4788.4;5;;;;;;
