ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay
LFBE,2021,18.08,-97.36,-79.28
EGNX,2020,-178.1206896551724,-322.2758620689655,-500.3965517241379
ENDU,2021,-353.4,-173.8,-527.2
LEVC,2021,172.998046875,184.03125,357.029296875
LICJ,2020,-139.77777777777777,-315.1111111111111,-454.8888888888889
ENCN,2021,34.34177215189873,394.253164556962,428.59493670886076
EPWR,2020,-215.98850574712642,-293.14942528735634,-509.13793103448273
EPMO,2020,-191.55172413793105,-421.48275862068965,-613.0344827586207
LKPR,2020,29.710762331838566,-58.652466367713004,-28.94170403587444
EDDM,2021,86.68558282208589,220.7883435582822,307.4739263803681
EGPH,2021,55.02873563218391,465.38505747126436,520.4137931034483
LPMA,2020,42.61290322580645,328.5806451612903,371.19354838709677
EDDR,2021,240.0,270.0,510.0
LIMC,2021,173.2980132450331,-307.1081677704194,-133.8101545253863
EDFH,2021,1620.0,2260.0,3880.0
EDDT,2020,-94.0406779661017,199.6542372881356,105.6135593220339
EPRZ,2020,-495.25,-424.25,-919.5
LIRZ,2021,-89.27777777777777,32.27777777777778,-57.0
LFBE,2020,-149.38888888888889,-232.11111111111111,-381.5
EPLB,2021,-154.05,30.95,-123.1
LPBJ,2021,420.0,438.0,858.0
EVRA,2020,-131.1021505376344,198.8279569892473,67.7258064516129
LGSA,2021,394.74074074074076,612.0370370370371,1006.7777777777778
LFML,2020,54.84571428571429,200.30857142857144,255.15428571428572
LEZG,2020,-288.5625,289.71875,1.15625
LSZH,2020,43.12090163934426,62.467213114754095,105.58811475409836
LDPL,2020,74.0,208.0,282.0
EDDS,2021,122.88724035608308,91.1454005934718,214.0326409495549
EDDB,2021,76.22222222222223,516.1441441441441,592.3663663663664
ENCN,2020,-275.468085106383,248.5744680851064,-26.893617021276597
LROP,2021,175.12727272727273,-9.481818181818182,165.64545454545456
EGNT,2021,16.637323943661972,179.5281690140845,196.16549295774647
LQBK,2021,-223.9375,-275.875,-499.8125
EGCN,2020,60.0,263.0,323.0
LIRN,2021,226.34567901234567,355.2345679012346,581.5802469135803
LEIB,2021,209.52443609022558,34.68984962406015,244.21428571428572
LFRQ,2020,180.0,398.0,578.0
LMML,2021,1022.1944444444445,1117.75,2139.9444444444443
LSZS,2021,1080.0,1296.0,2376.0
EGMC,2020,126.53333333333333,49.4,175.93333333333334
LFRS,2021,214.8230769230769,565.9846153846154,780.8076923076923
LEBB,2020,-102.47586206896551,3.303448275862069,-99.17241379310344
LIRF,2021,123.14222873900293,-42.22727272727273,80.91495601173021
EIDW,2020,-134.6454005934718,-185.7091988130564,-320.35459940652817
LATI,2020,-20.1875,-85.8125,-106.0
LGSM,2020,-41.53846153846154,184.69230769230768,143.15384615384616
LFTH,2021,36.92307692307692,-313.6923076923077,-276.7692307692308
LZKZ,2021,120.0,190.0,310.0
EHTW,2021,0.0,34.0,34.0
LIRP,2020,-67.81333333333333,235.73333333333332,167.92
LFAC,2020,60.0,-24.0,36.0
EPMO,2021,132.0,89.53658536585365,221.53658536585365
LSGG,2020,-64.30904522613065,-178.61557788944722,-242.9246231155779
EDDB,2020,-101.30386740331491,55.773480662983424,-45.530386740331494
LFST,2021,114.29113924050633,25.658227848101266,139.9493670886076
LJLJ,2020,-52.35,55.45,3.1
EPPO,2021,52.30508474576271,18.694915254237287,71.0
LGTS,2021,207.36697247706422,246.348623853211,453.7155963302752
LEBL,2021,219.02886405959032,425.6219739292365,644.6508379888268
LSZH,2021,180.69402985074626,329.77985074626866,510.4738805970149
ENBR,2021,-51.208480565371026,78.31095406360424,27.102473498233216
EGBB,2020,-220.3791469194313,-456.4075829383886,-676.7867298578199
LOWG,2020,-178.45,173.05,-5.4
LFPB,2021,375.0,498.25,873.25
LROP,2020,121.54368932038835,-104.08090614886731,17.462783171521036
EGGP,2020,-246.5211267605634,-399.92957746478874,-646.4507042253521
LGAV,2020,47.33613445378151,4.652661064425771,51.98879551820728
EGNV,2020,-256.3623188405797,-60.88405797101449,-317.2463768115942
LBWN,2021,225.0,-143.53333333333333,81.46666666666667
LATI,2021,256.15,285.1,541.25
LFLB,2020,1137.6,1039.0,2176.6
EBCI,2020,608.5714285714286,521.1428571428571,1129.7142857142858
LFQB,2020,780.0,473.0,1253.0
ESKS,2021,-60.0,-12.0,-72.0
LGPZ,2021,177.96774193548387,388.7741935483871,566.741935483871
LRBS,2021,1346.0,1563.0,2909.0
LEMG,2020,58.8860510805501,165.8271119842829,224.713163064833
EKBI,2020,-232.858934169279,201.6269592476489,-31.231974921630094
ENKR,2020,-240.0,1625.0,1385.0
ETNL,2021,240.0,848.0,1088.0
LFRN,2021,142.60526315789474,403.1842105263158,545.7894736842105
EGGW,2020,-28.55,218.91,190.36
LFPO,2021,-216.48717948717947,-203.07692307692307,-419.56410256410254
LIRN,2020,26.836734693877553,49.44897959183673,76.28571428571429
EICK,2021,63.17142857142857,506.4142857142857,569.5857142857143
LSGG,2021,47.604206500956025,67.91586998087953,115.52007648183556
LGKR,2020,-330.54545454545456,-221.5909090909091,-552.1363636363636
ENAL,2021,-16.361702127659573,174.2340425531915,157.87234042553192
LEPA,2020,-326.6203703703704,-209.80555555555554,-536.425925925926
LIMJ,2020,-19.88235294117647,439.5098039215686,419.62745098039215
EBBR,2021,112.75291375291376,313.26573426573424,426.01864801864804
EGHI,2021,-55.65625,327.28125,271.625
LOWI,2020,-38.925233644859816,-185.4392523364486,-224.3644859813084
LFAQ,2020,-420.0,-221.0,-641.0
EDHI,2020,1507.0,1138.0,2645.0
LPMA,2021,295.27777777777777,653.7037037037037,948.9814814814815
LIEO,2021,463.45762711864404,145.03389830508473,608.4915254237288
EDDM,2020,-42.42987249544627,335.13479052823317,292.7049180327869
LFRN,2020,8.566666666666666,76.36666666666666,84.93333333333334
LFJL,2020,-180.0,-34.0,-214.0
ETSI,2021,-900.0,-1254.0,-2154.0
EGSY,2021,1558.0,2504.5,4062.5
LOWS,2021,-54.345454545454544,-288.6909090909091,-343.03636363636366
LGRP,2021,205.26530612244898,223.30612244897958,428.57142857142856
LIEE,2021,112.92,260.0,372.92
LRCL,2021,22.58490566037736,70.22641509433963,92.81132075471699
LDZD,2021,133.20689655172413,213.51724137931035,346.7241379310345
LPPR,2021,216.61458333333334,429.2395833333333,645.8541666666666
LGSR,2021,190.71428571428572,614.8571428571429,805.5714285714286
EGPD,2020,-200.80073800738006,57.29520295202952,-143.50553505535055
LFBO,2020,41.89047619047619,154.0095238095238,195.9
EGPE,2020,-183.6,-46.68,-230.28
ENAL,2020,-179.72222222222223,190.16666666666666,10.444444444444445
LEAM,2020,-720.0,-942.0,-1662.0
EPRZ,2021,558.4285714285714,1181.5714285714287,1740.0
EGCC,2020,-112.94477317554241,-257.7455621301775,-370.69033530571994
EGGD,2020,-187.9438202247191,123.45318352059925,-64.49063670411985
LWOH,2021,852.4285714285714,722.5714285714286,1575.0
LIRQ,2021,189.4375,567.16796875,756.60546875
EDDL,2020,-122.16442953020135,-88.74496644295301,-210.90939597315437
LGTS,2020,256.6307692307692,290.5846153846154,547.2153846153847
LGKO,2021,318.1732283464567,372.38582677165357,690.5590551181102
ENTO,2020,-229.37735849056602,30.452830188679247,-198.9245283018868
LRAR,2020,-420.0,-89.5,-509.5
LFBO,2021,129.48363636363635,297.3309090909091,426.81454545454545
ESSL,2020,-286.2170542635659,185.7829457364341,-100.43410852713178
LEZG,2021,112.79545454545455,505.4318181818182,618.2272727272727
LRCL,2020,-241.3548387096774,-312.4516129032258,-553.8064516129032
LFPB,2020,331.3333333333333,488.3333333333333,819.6666666666666
EGBB,2021,-117.41330166270784,-188.10451306413302,-305.51781472684087
LUKK,2021,165.75,351.25,517.0
ELLX,2020,-87.34274193548387,278.4274193548387,191.08467741935485
EDDG,2020,340.0,267.0,607.0
LGSR,2020,-193.33333333333334,14.555555555555555,-178.77777777777777
LFSB,2021,12.955631399317406,9.491467576791809,22.447098976109213
LIME,2021,145.0,-257.98214285714283,-112.98214285714286
EPWR,2021,17.08888888888889,-38.21111111111111,-21.122222222222224
LBBG,2021,249.90625,-51.5,198.40625
EKYT,2020,-194.85026737967914,233.59893048128342,38.74866310160428
EDDP,2020,118.03664921465969,144.4240837696335,262.4607329842932
LFML,2021,369.8724489795918,489.92857142857144,859.8010204081633
EGAC,2021,-93.55384615384615,128.86153846153846,35.30769230769231
LEAL,2020,-63.824833702882486,50.03769401330377,-13.787139689578714
EGTE,2020,373.8333333333333,195.83333333333334,569.6666666666666
LIPR,2020,1521.75,1529.0,3050.75
LIEE,2020,132.53333333333333,211.0,343.53333333333336
LICJ,2021,89.15789473684211,9.894736842105264,99.05263157894737
LIRA,2020,-225.375,-324.25,-549.625
ENGM,2021,45.04007285974499,230.88342440801458,275.92349726775956
LIPO,2020,840.0,890.0,1730.0
LOWG,2021,13.744186046511627,358.04651162790697,371.7906976744186
EDDC,2020,-176.34146341463415,336.9024390243902,160.5609756097561
LEAL,2021,132.7688243064729,337.6816380449141,470.45046235138705
EGAA,2021,288.81081081081084,410.5945945945946,699.4054054054054
LFRM,2021,41.0,-822.0,-781.0
EGCN,2021,300.0,748.0,1048.0
EGGP,2021,-2.7,-211.3,-214.0
LGMK,2021,217.3181818181818,271.8181818181818,489.1363636363636
EFKT,2020,-22.0625,364.8125,342.75
LIPE,2021,140.1536231884058,208.3217391304348,348.47536231884055
LGMK,2020,-246.3,156.3,-90.0
ESGG,2021,12.125,245.7201086956522,257.8451086956522
ESSL,2021,-104.80952380952381,176.13095238095238,71.32142857142857
EHBK,2020,132.0,564.2,696.2
EFIV,2020,-540.0,439.0,-101.0
LGZA,2021,309.09090909090907,571.7840909090909,880.875
EKKA,2021,-585.0,-190.75,-775.75
LIPZ,2021,53.9013698630137,-265.47945205479454,-211.57808219178082
LHBP,2021,79.71370143149284,234.55419222903885,314.2678936605317
EFRO,2021,1260.0,1278.0,2538.0
LIME,2020,-252.25641025641025,-741.0769230769231,-993.3333333333334
ESOE,2020,-240.0,667.0,427.0
LKPR,2021,51.56356736242884,143.37381404174573,194.93738140417457
EGGW,2021,-138.56363636363636,111.43636363636364,-27.12727272727273
ENTC,2020,-240.0,510.0,270.0
LGKO,2020,-212.74285714285713,-326.8285714285714,-539.5714285714286
LIRZ,2020,-13.333333333333334,7.111111111111111,-6.222222222222222
EINN,2021,-454.6666666666667,109.0,-345.6666666666667
LDSP,2020,-116.06060606060606,267.72727272727275,151.66666666666666
LDPL,2021,-120.47368421052632,-86.10526315789474,-206.57894736842104
LFLS,2021,0.0,278.0,278.0
ENBR,2020,-189.94957983193277,24.11764705882353,-165.83193277310923
EHRD,2021,-120.0,485.0,365.0
