origin,destination,year(firstseen),month(firstseen),count
EHRD,LFMT,2019,6,2
EHRD,LFTH,2019,6,1
EHRD,LPFR,2019,6,46
EHRD,LICJ,2020,10,6
EHRD,LEAL,2020,10,12
EHRD,LKPR,2020,10,1
EHRD,LICP,2020,10,2
EHRD,LPFR,2020,10,53
EHRD,LDZA,2020,10,1
EHRD,LEMG,2020,10,13
EHRD,LIRZ,2020,10,7
EHRD,LIBR,2020,10,7
EHRD,LFBX,2020,10,1
EHRD,LFIB,2020,10,7
EHRD,LOWW,2020,10,1
EHRD,EHWO,2020,4,1
EHRD,EHEH,2022,10,2
EHRD,LEBL,2022,10,32
EHRD,LGKO,2022,10,16
EHRD,LEAM,2022,10,2
EHRD,LEPA,2022,10,17
EHRD,LD57,2022,10,1
EHRD,LPPT,2022,10,14
EHRD,LIBD,2022,10,1
EHRD,LOWI,2022,10,1
EHRD,LIRP,2022,10,1
EHRD,LICJ,2022,10,6
EHRD,LDPM,2022,10,2
EHRD,LEAL,2022,10,51
EHRD,LGRP,2022,10,11
EHRD,EHAM,2022,10,7
EHRD,LGTS,2022,10,6
EHRD,EGPH,2022,10,18
EHRD,LFKB,2022,10,3
EHRD,LPPR,2022,10,1
EHRD,LPAR,2022,10,9
EHRD,LOWG,2022,10,2
EHRD,LDPL,2022,10,8
EHRD,LICP,2022,10,2
EHRD,EDDV,2022,10,1
EHRD,LEMD,2022,10,1
EHRD,LFBD,2022,10,2
EHRD,LFBE,2022,10,1
EHRD,LEMG,2022,10,47
EHRD,LIME,2022,10,13
EHRD,LOWW,2022,10,1
EHRD,LEIB,2022,10,23
EHRD,LFBX,2022,10,2
EHRD,LFMN,2022,10,6
EHRD,LIRF,2022,10,18
EHRD,EGLC,2022,10,55
EHRD,EDDE,2022,10,1
EHRD,LDDU,2022,10,4
EHRD,ENZV,2022,10,1
EHRD,LEGE,2022,10,2
EHRD,LIRZ,2022,10,8
EHRD,EKCH,2022,10,1
EHRD,LPFR,2022,10,49
EHRD,LGTP,2022,10,1
EHRD,LPFR,2021,6,22
EHRD,EGSS,2021,6,1
EHRD,LEAL,2021,6,33
EHRD,LIRZ,2021,6,9
EHRD,LEPA,2021,6,11
EHRD,EKCH,2021,6,1
EHRD,LEAM,2021,6,1
EHRD,LEBL,2021,6,2
EHRD,EDDM,2021,6,1
EHRD,LIBR,2021,6,7
EHRD,LEAP,2021,6,1
EHRD,LEIB,2021,6,20
EHRD,LEGE,2021,6,4
EHRD,LDSR,2021,6,5
EHRD,LEMG,2021,6,34
EHRD,LHBP,2021,6,1
EHRD,LZIB,2021,6,1
EHRD,LGKO,2022,9,16
EHRD,LFIB,2022,9,1
EHRD,LFTZ,2022,9,1
EHRD,LDDU,2022,9,8
EHRD,LEGE,2022,9,1
EHRD,LFNG,2022,9,4
EHRD,LIRF,2022,9,18
EHRD,LDPL,2022,9,7
EHRD,LFMN,2022,9,1
EHRD,EBBR,2022,9,1
EHRD,LPFR,2022,9,40
EHRD,EBZU,2022,9,1
EHRD,EHAM,2022,9,6
EHRD,LEMG,2022,9,33
EHRD,LDPM,2022,9,8
EHRD,LZIB,2022,9,1
EHRD,LFMF,2022,9,1
EHRD,LGKY,2022,9,1
EHRD,LDRI,2022,9,1
EHRD,LEBL,2022,9,30
EHRD,LGRP,2022,9,11
