origin,destination,count
EHRD,EPWA,6
EHGG,LIPE,2
EHAM,LBSB,18
EHAM,LFRZ,1
EHAM,EFNU,12
EHAM,LIMN,573
EHAM,EGSA,10
EHAM,LGMG,11
EHEH,LGEL,6
EHAM,EDFZ,8
EHRD,EGPD,1
EHAM,LFBT,1
EHRD,EGFF,1
EHBK,EDDF,95
EHAM,LGKF,1
EHEH,LECN,1
EHEH,EDDB,11
EHRD,LKKB,1
EHEH,LFPO,3
EHBK,ENTO,3
EHAM,LFHV,4
EHAM,EKSB,6
EHAM,LGEL,23
EHAM,LEMP,4
EHRD,ESSA,2
EHBK,LEPA,7
EHAM,ESKN,4
EHAM,LFNX,7
EHEH,EHGG,11
EHGG,LIRF,4
EHBK,LBSF,3
EHAM,LFFV,7
EHAM,LESL,5
EHEH,LE84,14
EHBK,EHTW,1
EHRD,LOWI,242
EHRD,LOWG,2
EHEH,LFMD,7
EHEH,EGPE,2
EHEH,LFBD,1
EHRD,LIBD,2
EHRD,EDDV,3
EHAM,LKVO,555
EHEH,LICC,1
EHRD,LPPR,2
EHAM,ESGP,8
EHBK,LZIB,4
EHRD,LOWW,176
EHBK,LOWW,17
EHAM,ENUL,449
EHGG,EHEH,2
EHRD,LFBE,15
EHAM,LFMD,63
EHGG,EBMB,4
EHRD,LFBD,4
EHRD,LFMN,9
EHRD,EDDE,1
EHAM,EDLW,1
EHAM,BIKF,1196
EHEH,LIBR,96
EHAM,EDBW,3
EHAM,EBZU,1
EHAM,EHGG,133
EHAM,LFFZ,12
EHEH,EBZU,2
EHBK,LPPR,8
EHRD,ENZV,1
EHAM,LIRA,6
EHEH,LRCL,45
EHRD,LGTS,6
EHGG,EBBR,8
EHEH,LSZH,2
EHAM,LBLS,22
EHAM,EDMO,3
EHRD,LIRP,54
EHAM,EGLM,18
EHAM,LEDS,1
EHRD,LGTP,1
EHAM,LOIR,191
EHBK,EBMB,6
EHAM,EDNY,1
EHAM,EDQI,1
EHBK,LFML,1
EHRD,LEMH,1
EHRD,LDRI,16
EHGG,LEIB,1
EHAM,LICP,3
EHEH,EBMB,22
EHRD,EBMB,20
EHGG,LKKB,1
EHAM,EGLF,6
EHAM,EDAY,2
EHAM,EDSK,35
EHAM,LSPH,1
EHRD,LFMF,1
EHAM,EKSS,1
EHAM,LGKY,5
EHEH,LFMC,1
EHAM,ESTT,1
EHRD,LGKY,1
EHBK,EGPH,1
EHEH,LFMF,1
EHEH,LHHO,8
EHGG,EGFF,1
EHBK,LOLW,1
EHEH,LDPL,3
EHBK,EKCH,23
EHAM,LSZK,2
EHAM,EDDK,19
EHRD,EBZU,2
EHEH,LFFI,1
EHBK,LFBT,10
EHAM,LILQ,50
EHAM,LPCS,11
EHBK,LFPG,10
EHBK,EHRD,3
EHAM,LFGY,2
EHAM,LWOH,1
EHAM,LG55,6
EHAM,LGNX,9
EHAM,EDCS,9
EHAM,LRCL,1
EHEH,LUKK,1
EHBK,EGKR,25
EHGG,EHBK,4
EHAM,LRTR,1
EHRD,LGSA,2
EHBK,EDDB,6
EHAM,EDRN,2
EHBK,LFXA,16
EHRD,EGSS,3
EHAM,LFLS,10
EHEH,LFBT,1
EHAM,LAGJ,1
EHAM,EPLU,7
EHAM,EDDG,1
EHRD,EDJA,3
EHAM,LIDU,168
EHAM,LICC,18
EHBK,EBOS,15
EHBK,EDDK,5
EHRD,EGJB,1
EHAM,EGWE,3
EHRD,EPKT,2
EHEH,EDDM,4
EHRD,LEAP,85
EHTW,EKBI,1
EHAM,LATI,1
EHAM,LFOH,1
EHRD,LPOT,1
EHAM,LFHN,165
EHRD,LAGJ,1
EHAM,EINN,13
EHRD,LIMC,4
EHEH,EPJS,2
EHRD,LGSO,1
EHBK,LEIB,1
EHRD,EINN,1
EHEH,EGPF,4
EHBK,EPPO,4
EHEH,LFQQ,2
EHAM,LPOT,7
EHAM,LGSD,2
EHEH,LIBD,2
EHAM,EGDW,15
EHEH,EPKP,1
EHAM,LRBS,25
EHBK,LPFR,21
EHBK,LGIR,58
EHAM,ESMG,65
