AC Type,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
B772,2019,-360.0,-10175.0,-10535.0,19124.5,8589.5
B772,2018,186.0,-17017.0,-16831.0,28897.0,12066.0
B744,2019,524.316513761468,653.8990825688073,1178.2155963302753,3912.0366972477063,5090.252293577982
B77L,2016,295.4089552238806,359.34328358208955,654.7522388059701,5025.59104477612,5680.3432835820895
AT76,2015,418.5,284.875,703.375,5838.875,6542.25
A318,2015,84.28512396694215,16.628099173553718,100.91322314049587,5930.384297520661,6031.297520661157
B734,2018,835.7570093457944,426.7383177570093,1262.4953271028037,6545.943925233645,7808.439252336449
E170,2015,-13.945040214477212,-58.2902144772118,-72.23525469168901,4211.880026809651,4139.644772117962
E75L,2018,247.1223603414707,173.10843193050772,420.23079227197843,4230.90145274824,4651.132245020219
F70,2015,54.35891800507185,109.47235841081995,163.8312764158918,3744.3984784446325,3908.2297548605243
E190,2018,330.06973305954824,356.5227926078029,686.5925256673511,4642.107351129363,5328.699876796714
DH8D,2016,233.28040973111396,-158.19846350832267,75.08194622279129,5458.053137003842,5533.135083226633
CRJ7,2016,295.9114583333333,290.8567708333333,586.7682291666666,5829.3984375,6416.166666666667
CRJ9,2016,388.8909090909091,393.3090909090909,782.2,5299.612121212122,6081.812121212121
JS32,2018,-65.23529411764706,65.17647058823529,-0.058823529411764705,6157.588235294118,6157.529411764706
AT72,2018,-506.8390804597701,-1203.4827586206898,-1710.3218390804598,6646.632183908046,4936.310344827586
B462,2016,669.6153846153846,712.1538461538462,1381.7692307692307,4217.2307692307695,5599.0
E195,2019,692.0387096774193,615.0309677419355,1307.0696774193548,5488.705806451613,6795.775483870968
B788,2019,704.578125,636.390625,1340.96875,8139.609375,9480.578125
E120,2019,-251.4262295081967,494.73770491803276,243.31147540983608,3369.7868852459014,3613.098360655738
B788,2015,881.1111111111111,-463.1666666666667,417.94444444444446,7305.555555555556,7723.5
J328,2016,-769.75,-646.5,-1416.25,3609.5,2193.25
A319,2016,404.1417677642981,418.71889081455805,822.8606585788561,4962.759965337955,5785.620623916811
E190,2016,232.134955014995,248.07422525824725,480.2091802732422,4813.241336221259,5293.450516494502
SU95,2016,20.0,-15.333333333333334,4.666666666666667,6317.777777777777,6322.444444444444
A332,2015,270.0,-104.25,165.75,5328.5,5494.25
B752,2019,59.27333333333333,69.36666666666666,128.64,4465.7,4594.34
A319,2019,530.6325060048039,522.3993194555644,1053.0318254603683,5098.65192153723,6151.683746997598
B738,2018,516.1005836771661,438.32056958840695,954.4211532655731,7082.002767434839,8036.423920700413
DH8C,2015,-1020.0,-716.0,-1736.0,8484.0,6748.0
DH8D,2019,493.2526395173454,273.31975867269983,766.5723981900453,4860.071644042232,5626.644042232278
B752,2018,547.8521739130434,233.90869565217392,781.7608695652174,7120.982608695652,7902.74347826087
A343,2016,780.0,-16.444444444444443,763.5555555555555,7771.222222222223,8534.777777777777
B735,2019,609.0,1005.3333333333334,1614.3333333333333,6486.444444444444,8100.777777777777
F70,2016,98.57613168724279,183.90843621399176,282.4845679012346,3712.4343621399175,3994.918930041152
B733,2016,248.21243523316062,101.69948186528498,349.9119170984456,6479.4352331606215,6829.347150259067
F100,2015,367.1974683544304,608.713924050633,975.9113924050633,6970.6,7946.511392405063
AT43,2015,-218.02941176470588,-216.3235294117647,-434.3529411764706,5944.235294117647,5509.882352941177
AN26,2018,105.0,-602.0,-497.0,11846.25,11349.25
B744,2015,445.2160278745645,492.411149825784,937.6271777003484,4172.20905923345,5109.836236933798
B748,2018,617.9923664122138,861.8931297709923,1479.8854961832062,4871.18320610687,6351.0687022900765
B734,2016,-157.12820512820514,-273.71794871794873,-430.84615384615387,4830.74358974359,4399.897435897436
F100,2016,418.7955801104972,352.4806629834254,771.2762430939226,7090.066298342542,7861.342541436464
B748,2016,678.9604519774011,899.2259887005649,1578.1864406779662,4232.593220338983,5810.779661016949
B734,2015,332.72727272727275,497.6363636363636,830.3636363636364,4493.181818181818,5323.545454545455
B737,2015,165.1610396228819,154.1220537648108,319.2830933876927,5778.299910816664,6097.583004204357
SU95,2018,1740.0,1965.0,3705.0,1867.0,5572.0
A318,2018,698.113475177305,292.63120567375887,990.7446808510638,4986.780141843971,5977.524822695035
A306,2015,170.19135802469137,216.77777777777777,386.9691358024691,4295.66049382716,4682.62962962963
B752,2015,187.2578125,54.42578125,241.68359375,8421.26171875,8662.9453125
SW4,2019,11.736842105263158,122.6842105263158,134.42105263157896,6087.526315789473,6221.9473684210525
A318,2016,360.93273542600895,188.51569506726457,549.4484304932736,5797.457399103139,6346.905829596412
A320,2018,647.0278386672512,529.2854011398509,1176.313239807102,5812.100942569049,6988.414182376151
E170,2018,263.08474576271186,524.04802259887,787.132768361582,3521.683615819209,4308.816384180791
B77L,2019,-2.973821989528796,440.16230366492147,437.18848167539267,5043.408376963351,5480.5968586387435
B789,2019,1143.4285714285713,177.67857142857142,1321.107142857143,9374.5,10695.607142857143
B736,2018,566.0526315789474,380.3421052631579,946.3947368421053,6858.815789473684,7805.210526315789
AT45,2016,-456.77777777777777,-131.0,-587.7777777777778,4025.6666666666665,3437.8888888888887
B38M,2019,885.875,1435.625,2321.5,6583.875,8905.375
AN12,2016,-406.6666666666667,-891.2222222222222,-1297.888888888889,8792.222222222223,7494.333333333333
B737,2016,228.0763590391909,259.20303413400757,487.27939317319846,5414.677370417194,5901.956763590392
RJ85,2015,265.24422110552763,515.1195979899497,780.3638190954774,3350.721608040201,4131.085427135678
A310,2015,723.9830508474577,557.4237288135594,1281.406779661017,8563.881355932202,9845.28813559322
CRJ9,2019,666.5673469387755,610.7224489795918,1277.2897959183674,5136.367346938776,6413.657142857143
JS32,2016,399.1818181818182,198.36363636363637,597.5454545454545,5717.636363636364,6315.181818181818
JS32,2019,-223.82251082251082,-41.02597402597402,-264.8484848484849,4035.3636363636365,3770.5151515151515
DH8D,2018,453.2293233082707,17.718045112781954,470.94736842105266,5011.666165413534,5482.613533834587
B788,2018,865.7058823529412,874.8235294117648,1740.5294117647059,6706.823529411765,8447.35294117647
E170,2016,153.7444589308996,112.99174272055627,266.7362016514559,4272.078226857888,4538.814428509344
E190,2019,361.6533839342188,509.4140575585073,871.0674414927262,4574.023323845668,5445.090765338394
D328,2019,-346.0,-605.0,-951.0,3381.5,2430.5
E120,2016,-86.98461538461538,125.03076923076924,38.04615384615385,3887.2615384615383,3925.3076923076924
B77W,2015,438.94029850746267,525.3283582089553,964.2686567164179,3683.5223880597014,4647.79104477612
A320,2015,303.4040999057493,276.76437323279924,580.1684731385485,5697.754241281809,6277.922714420358
CRJ9,2015,174.87626262626262,140.87373737373738,315.75,5610.944444444444,5926.694444444444
B738,2015,237.64979480164158,246.43700410396715,484.08679890560876,6941.905950752394,7425.992749658003
SF34,2015,85.42857142857143,84.14285714285714,169.57142857142858,8014.142857142857,8183.714285714285
AN12,2019,1188.0,80.6,1268.6,12608.0,13876.6
A332,2019,603.6927710843373,431.421686746988,1035.1144578313254,7006.240963855422,8041.355421686747
A306,2018,362.3841059602649,416.5496688741722,778.933774834437,5285.304635761589,6064.238410596026
B462,2015,-304.1,-286.8,-590.9,4003.1,3412.2
CRJ9,2018,522.0575815738963,350.8694817658349,872.9270633397313,5503.305182341651,6376.232245681382
A332,2018,482.1123595505618,589.2134831460675,1071.3258426966293,7366.786516853933,8438.112359550561
B752,2016,65.32828282828282,-39.16161616161616,26.166666666666668,7083.424242424242,7109.590909090909
A21N,2019,504.68461538461537,575.5961538461538,1080.2807692307692,5667.334615384615,6747.615384615385
A20N,2018,667.3270777479893,538.201072386059,1205.5281501340482,5029.87399463807,6235.402144772118
