AC Type,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
E190,2021,104.6846447669977,287.0863254392666,391.77097020626434,4863.785943468297,5255.556913674561
E295,2021,189.98996990972918,310.24974924774324,500.2397191574724,5373.008024072216,5873.247743229689
CRJX,2020,-54.99476439790576,276.71204188481676,221.717277486911,5263.732984293194,5485.4502617801045
A333,2020,619.64,507.68,1127.32,4719.493333333333,5846.8133333333335
F100,2021,-192.66666666666666,-445.6666666666667,-638.3333333333334,8520.666666666666,7882.333333333333
B763,2021,92.27027027027027,-64.61261261261261,27.65765765765766,7091.40990990991,7119.0675675675675
A332,2021,460.4848484848485,342.43939393939394,802.9242424242424,6958.651515151515,7761.575757575758
B753,2020,720.0,58.666666666666664,778.6666666666666,11572.666666666666,12351.333333333334
J328,2021,-273.92857142857144,-99.85714285714286,-373.7857142857143,4542.642857142857,4168.857142857143
A318,2021,189.88111888111888,-50.62937062937063,139.25174825174824,7053.832167832168,7193.083916083916
B763,2020,-103.51333333333334,-188.89333333333335,-292.4066666666667,5436.6466666666665,5144.24
A319,2020,4.4926350245499185,97.02864157119477,101.52127659574468,4914.667757774141,5016.189034369885
B734,2021,-29.40963855421687,259.87951807228916,230.46987951807228,3542.3373493975905,3772.8072289156626
A20N,2020,-8.779967159277504,132.66174055829228,123.88177339901478,5466.210180623973,5590.091954022989
F50,2020,960.0,-550.0,410.0,6606.0,7016.0
B735,2020,133.33333333333334,-47.888888888888886,85.44444444444444,9137.111111111111,9222.555555555555
A319,2021,87.74817313097246,178.97301854974705,266.7211916807195,5224.646430578977,5491.367622259697
B739,2021,160.04,311.576,471.616,5606.690666666666,6078.306666666666
A306,2021,115.0,426.63492063492066,541.6349206349206,4275.539682539683,4817.174603174603
E120,2020,-581.1388888888889,-61.388888888888886,-642.5277777777778,3348.902777777778,2706.375
SW4,2020,83.2,99.2,182.4,6470.8,6653.2
B77W,2020,-314.725,-243.825,-558.55,5413.45,4854.9
A339,2020,300.0,432.0,732.0,11114.0,11846.0
B735,2021,72.9090909090909,-82.45454545454545,-9.545454545454545,8914.09090909091,8904.545454545454
B744,2020,-195.72932330827066,444.37593984962405,248.64661654135338,3716.1428571428573,3964.7894736842104
BCS1,2021,278.4871794871795,230.94871794871796,509.43589743589746,4552.358974358975,5061.794871794872
BCS1,2020,230.54761904761904,75.11904761904762,305.6666666666667,4527.238095238095,4832.9047619047615
E75S,2020,-228.98019801980197,33.92079207920792,-195.05940594059405,5276.752475247525,5081.693069306931
B772,2020,159.4,594.4,753.8,5273.2,6027.0
BCS3,2021,77.51769911504425,436.35840707964604,513.8761061946902,6850.353982300885,7364.230088495575
A332,2020,-159.42424242424244,-17.40909090909091,-176.83333333333334,5480.636363636364,5303.80303030303
A343,2020,252.66666666666666,517.1111111111111,769.7777777777778,2694.4444444444443,3464.222222222222
SB20,2020,-420.0,-1170.0,-1590.0,6044.0,4454.0
B772,2021,-840.0,-527.0,-1367.0,5785.0,4418.0
F100,2020,-780.0,-809.3333333333334,-1589.3333333333333,10225.333333333334,8636.0
A346,2021,1380.0,1606.0,2986.0,4037.0,7023.0
AT43,2020,-1140.0,1193.0,53.0,12989.0,13042.0
E120,2021,-724.8823529411765,208.88235294117646,-516.0,3384.176470588235,2868.176470588235
