ADEP,ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
EHEH,LROP,2018,364.25925925925924,171.85185185185185,536.1111111111111,8982.055555555555,9518.166666666666
EHAM,ENCN,2016,72.44594594594595,162.1891891891892,234.63513513513513,4570.429054054054,4805.064189189189
EHAM,LGPZ,2016,54.41860465116279,-34.674418604651166,19.74418604651163,9984.39534883721,10004.139534883721
EHEH,LIRF,2015,1576.0,3293.0,4869.0,6847.0,11716.0
EHRD,LFBE,2019,344.864406779661,205.32203389830508,550.1864406779661,5388.203389830508,5938.389830508475
EHAM,ELLX,2018,328.6555360281195,306.48506151142357,635.140597539543,3055.7398945518453,3690.8804920913885
EHBK,EGBB,2018,-502.4230769230769,-1236.3333333333333,-1738.7564102564102,6443.5641025641025,4704.807692307692
EHAM,LDSP,2018,571.52,505.52,1077.04,7262.88,8339.92
EHEH,LIRA,2016,332.3679245283019,128.0754716981132,460.4433962264151,6892.943396226415,7353.38679245283
EHBK,LPFR,2015,297.2631578947368,355.6842105263158,652.9473684210526,10133.315789473685,10786.263157894737
EHAM,ENVA,2019,220.73333333333332,582.2333333333333,802.9666666666667,7020.79,7823.756666666667
EHAM,LEBL,2018,756.1370344342937,747.0709768095572,1503.208011243851,7241.70063246662,8744.90864371047
EHAM,LIRQ,2018,612.3391304347826,715.8521739130434,1328.1913043478262,6176.106521739131,7504.297826086957
EHAM,EGPE,2018,236.16417910447763,67.43283582089552,303.5970149253731,5481.55223880597,5785.149253731343
EHAM,LIMC,2016,386.3009575923393,552.5663474692202,938.8673050615595,5320.860465116279,6259.7277701778385
EHAM,LEAL,2015,413.4336917562724,577.0752688172043,990.5089605734767,8813.182795698925,9803.691756272401
EHAM,EGBB,2018,454.6133768352365,119.13213703099511,573.7455138662317,4452.522022838499,5026.26753670473
EHAM,EDDC,2018,289.52517985611513,163.86330935251797,453.3884892086331,4304.769784172662,4758.158273381295
EHEH,LEAL,2018,359.92549019607844,374.72549019607845,734.6509803921568,8438.360784313725,9173.011764705883
