ADEP,ADES,year,avg_delay_departure,avg_delay_destination,avg_total_delay,avg_filed_duration,avg_actual_duration
EHRD,LDZD,2020,-280.5,-405.6666666666667,-686.1666666666666,6617.833333333333,5931.666666666667
EHBK,LIMC,2020,1344.0,172.8,1516.8,6000.0,7516.8
EHAM,EGPF,2021,81.0340909090909,502.86742424242425,583.9015151515151,4615.19696969697,5199.098484848485
EHEH,EIDW,2021,128.72413793103448,-68.89655172413794,59.827586206896555,5670.0,5729.827586206897
EHGG,ESKS,2021,-60.0,-12.0,-72.0,5913.5,5841.5
EHAM,ENBR,2020,-193.53586497890296,23.50632911392405,-170.0295358649789,5321.869198312236,5151.839662447257
EHEH,LIRP,2021,193.45945945945945,388.9189189189189,582.3783783783783,5412.364864864865,5994.743243243243
EHEH,LIRN,2021,330.0,371.6875,701.6875,7560.125,8261.8125
EHAM,LFML,2020,60.82248520710059,213.79881656804733,274.6213017751479,5972.934911242603,6247.556213017751
EHAM,EVRA,2020,-120.92215568862275,222.22155688622755,101.2994011976048,6982.161676646707,7083.461077844311
EHAM,EVRA,2021,-51.17112299465241,382.3850267379679,331.2139037433155,7119.395721925133,7450.60962566845
EHAM,LEIB,2021,262.8338658146965,204.91693290734824,467.75079872204475,8971.373801916932,9439.124600638977
EHAM,LGTS,2020,305.78846153846155,362.5192307692308,668.3076923076923,9631.73076923077,10300.038461538461
EHRD,LGKO,2020,-342.5,-488.0,-830.5,12476.0,11645.5
EHAM,EDDV,2021,-21.434782608695652,76.57971014492753,55.14492753623188,2960.314009661836,3015.458937198068
EHAM,LSZH,2021,181.0317757009346,330.49719626168223,511.5289719626168,4241.009345794392,4752.538317757009
EHEH,LYBE,2021,84.3076923076923,69.92307692307692,154.23076923076923,7163.153846153846,7317.384615384615
EHAM,LGPZ,2021,186.78688524590163,401.8360655737705,588.6229508196722,9614.377049180328,10203.0
EHBK,LIBD,2021,-79.57142857142857,92.07142857142857,12.5,7303.0,7315.5
EHAM,EPKK,2020,27.7,237.04375,264.74375,5817.05,6081.79375
EHBK,LEMG,2020,1620.0,1303.0,2923.0,10675.0,13598.0
EHEH,EBBR,2021,-450.0,-25.5,-475.5,1520.25,1044.75
EHAM,ENTO,2020,-229.37735849056602,30.452830188679247,-198.9245283018868,4976.773584905661,4777.8490566037735
EHEH,LDRI,2020,-436.4,-420.8,-857.2,5606.8,4749.6
EHRD,LEMG,2021,47.94871794871795,223.97435897435898,271.9230769230769,9765.410256410256,10037.333333333334
EHRD,LEVC,2020,-188.46666666666667,-432.46666666666664,-620.9333333333333,7983.866666666667,7362.933333333333
EHBK,LIBD,2020,-87.27272727272727,87.45454545454545,0.18181818181818182,7326.181818181818,7326.363636363636
EHBK,LGZA,2021,375.0,324.25,699.25,9513.75,10213.0
EHAM,LPPR,2021,176.82554517133957,449.0404984423676,625.8660436137071,8723.598130841121,9349.464174454828
EHAM,EGGD,2021,52.005,379.42,431.425,3918.125,4349.55
EHEH,LIRF,2021,285.0,-160.97297297297297,124.02702702702703,7135.351351351352,7259.378378378378
EHRD,LEMG,2020,-64.95945945945945,23.87837837837838,-41.08108108108108,9678.391891891892,9637.31081081081
EHRD,LOWS,2020,-198.6969696969697,-739.3030303030303,-938.0,5156.454545454545,4218.454545454545
EHRD,EGPH,2020,-360.0,-198.16666666666666,-558.1666666666666,4633.5,4075.3333333333335
EHRD,LDZD,2021,258.6666666666667,233.33333333333334,492.0,6487.777777777777,6979.777777777777
EHAM,EFHK,2021,103.21627906976744,451.02558139534887,554.2418604651162,7838.906976744186,8393.148837209303
